Sample,X(ms) [24.10.0049 10:10:51 348 UTC],CurrentSetpoint[°C],ScaledInput[°C],OutputHeat[%],OutputCool[%]
0,0.000000,0,19.9978294372559,0,0
1,0.000000,0,19.9978294372559,0,0
2,316.102700,0,19.9978294372559,0,0
3,628.533900,0,19.9978294372559,0,0
4,940.956400,0,19.9978294372559,0,0
5,1253.310600,0,19.9978294372559,0,0
6,1565.812500,0,19.9978294372559,0,0
7,1878.238300,0,19.9978294372559,0,0
8,2190.652200,0,19.9978294372559,0,0
9,2499.869300,0,19.9978294372559,0,0
10,2812.295400,0,19.9978294372559,0,0
11,3124.716000,0,19.9978294372559,0,0
12,3437.064300,0,19.9978294372559,0,0
13,3749.579700,0,19.9978294372559,0,0
14,4062.001400,0,19.9978294372559,0,0
15,4374.393400,0,19.9978294372559,0,0
16,4686.668300,0,19.9978294372559,0,0
17,4999.283100,0,19.9978294372559,0,0
18,5311.712600,0,19.9978294372559,0,0
19,5624.084900,0,19.9978294372559,0,0
20,5936.567900,0,19.9978294372559,0,0
21,6248.992400,0,19.9978294372559,0,0
22,6561.419800,0,19.9978294372559,0,0
23,6873.803100,0,19.9978294372559,0,0
24,7186.272400,0,19.9978294372559,0,0
25,7498.699500,0,19.9978294372559,0,0
26,7811.105300,0,19.9978294372559,0,0
27,8123.404400,0,19.9978294372559,0,0
28,8435.981700,0,19.9978294372559,0,0
29,8748.405300,0,19.9978294372559,0,0
30,9060.792200,0,19.9978294372559,0,0
31,9373.259300,0,19.9978294372559,0,0
32,9685.679900,0,19.9978294372559,0,0
33,9998.109700,0,19.9978294372559,0,0
34,10310.347000,0,19.9978294372559,0,0
35,10622.966900,0,19.9978294372559,0,0
36,10935.394300,0,19.9978294372559,0,0
37,11247.806600,0,19.9978294372559,0,0
38,11552.771400,0,19.9978294372559,0,0
39,11865.184200,0,19.9978294372559,0,0
40,12177.562400,0,19.9978294372559,0,0
41,12490.049000,0,19.9978294372559,0,0
42,12802.478800,0,19.9978294372559,0,0
43,13114.875700,0,19.9978294372559,0,0
44,13427.158000,0,19.9978294372559,0,0
45,13739.759900,0,19.9978294372559,0,0
46,14052.172700,0,19.9978294372559,0,0
47,14364.475900,0,19.9978294372559,0,0
48,14677.005900,0,19.9978294372559,0,0
49,14989.461900,0,19.9978294372559,0,0
50,15301.885000,0,19.9978294372559,0,0
51,15614.269400,0,19.9978294372559,0,0
52,15926.739800,0,19.9978294372559,0,0
53,16239.171700,0,19.9978294372559,0,0
54,16551.444400,0,19.9978294372559,0,0
55,16863.867200,0,19.9978294372559,0,0
56,17176.446100,0,19.9978294372559,0,0
57,18066.668800,0,19.9978294372559,0,0
58,18191.837100,0,19.9978294372559,0,0
59,18504.257200,0,19.9978294372559,0,0
60,18816.606300,0,19.9978294372559,0,0
61,19128.944900,0,19.9978294372559,0,0
62,19441.544000,0,19.9978294372559,0,0
63,19753.945500,0,19.9978294372559,0,0
64,20066.199500,0,19.9978294372559,0,0
65,20378.825400,0,19.9978294372559,0,0
66,20691.253000,0,19.9978294372559,0,0
67,21003.624500,0,19.9978294372559,0,0
68,21316.107000,0,19.9978294372559,0,0
69,21628.531400,0,19.9978294372559,0,0
70,21940.951800,0,19.9978294372559,0,0
71,22253.339500,0,19.9978294372559,0,0
72,22565.813100,0,19.9978294372559,0,0
73,22878.205900,0,19.9978294372559,0,0
74,23190.648700,0,19.9978294372559,0,0
75,23502.897000,0,19.9978294372559,0,0
76,23815.516200,0,19.9978294372559,0,0
77,24127.944600,0,19.9978294372559,0,0
78,24440.327200,0,19.9978294372559,0,0
79,24752.795900,0,19.9978294372559,0,0
80,25065.218200,0,19.9978294372559,0,0
81,25377.644500,0,19.9978294372559,0,0
82,25705.609300,0,19.9978294372559,0,0
83,26018.123100,0,19.9978294372559,0,0
84,26346.172100,0,19.9978294372559,0,0
85,26658.549600,0,19.9978294372559,0,0
86,26971.021500,0,19.9978294372559,0,0
87,27283.452200,0,19.9978294372559,0,0
88,27595.873600,0,19.9978294372559,0,0
89,27908.151100,0,19.9978294372559,0,0
90,28220.731600,0,19.9978294372559,0,0
91,28533.136100,0,19.9978294372559,0,0
92,28845.570000,0,19.9978294372559,0,0
93,29157.816100,0,19.9978294372559,0,0
94,29470.439100,0,19.9978294372559,0,0
95,29782.864000,0,19.9978294372559,0,0
96,30095.254100,0,19.9978294372559,0,0
97,30407.726100,0,19.9978294372559,0,0
98,30720.144000,0,19.9978294372559,0,0
99,31032.505300,0,19.9978294372559,0,0
100,31344.918900,0,19.9978294372559,0,0
101,31657.418100,0,19.9978294372559,0,0
102,31969.846800,0,19.9978294372559,0,0
103,32282.276100,0,19.9978294372559,0,0
104,32594.643800,0,19.9978294372559,0,0
105,32907.125800,0,19.9978294372559,0,0
106,33219.575600,60,19.9978294372559,100,0
107,33563.058400,60,20.6597194671631,100,0
108,33844.215200,60,21.6471290588379,100,0
109,34156.830200,60,22.3017902374268,100,0
110,34461.311900,60,22.9528408050537,100,0
111,34773.954500,60,24.5732097625732,100,0
112,35086.356300,60,25.2170104980469,100,0
113,35398.736400,60,26.1791095733643,100,0
114,35711.209700,60,26.8156795501709,100,0
115,36023.572500,60,28.3962707519531,100,0
116,36336.062300,60,29.0219898223877,100,0
117,36648.327400,60,29.9623908996582,99.5774917602539,0
118,37007.614900,60,30.5808696746826,100,0
119,37273.399000,60,31.5104198455811,100,0
120,37585.766500,60,32.1252899169922,100,0
121,37898.006500,60,33.6552391052246,100,0
122,38241.719600,60,34.2628707885742,100,0
123,38522.934700,60,34.8669013977051,100,0
124,38901.213800,60,35.7675094604492,100,0
125,39137.579500,60,36.3679084777832,100,0
126,39450.105100,60,37.8508415222168,100,0
127,39809.306300,60,38.4440116882324,100,0
128,40075.048200,60,39.3229217529297,100,0
129,40387.420000,60,39.9016189575195,100,0
130,40699.713700,60,40.4839401245117,100,0
131,41012.299400,60,41.3520011901855,100,0
132,41355.802700,60,42.5021705627441,100,0
133,41637.070400,60,43.3557586669922,100,0
134,41949.584000,60,43.9236106872559,100,0
135,42262.055600,60,44.7735786437988,100,0
136,42574.430700,60,45.3342018127441,100,0
137,42886.796200,60,46.7303199768066,100,0
