Sample,X(ms) [21.07.2012 20:32:34 736 UTC],"Data".Tank1.Heater.State.HeatingOut,"Data".Tank1.WaterTemp.AIScaled
0,5.744000,25,19.9978294372559
1,14.382000,25,19.9978294372559
2,24.949000,25,19.9978294372559
3,34.835000,25,19.9978294372559
4,45.276000,25,19.9978294372559
5,54.781000,25,19.9978294372559
6,64.345000,25,19.9978294372559
7,74.369000,25,19.9978294372559
8,84.390000,25,19.9978294372559
9,94.993000,25,19.9978294372559
10,105.547000,25,19.9978294372559
11,115.314000,25,19.9978294372559
12,126.037000,25,19.9978294372559
13,136.347000,25,19.9978294372559
14,145.232000,25,19.9978294372559
15,155.546000,25,19.9978294372559
16,165.533000,25,19.9978294372559
17,175.499000,25,19.9978294372559
18,185.058000,25,19.9978294372559
19,195.679000,25,19.9978294372559
20,205.544000,25,19.9978294372559
21,215.370000,25,19.9978294372559
22,225.632000,25,19.9978294372559
23,234.441000,25,19.9978294372559
24,244.232000,25,19.9978294372559
25,254.437000,25,19.9978294372559
26,264.211000,25,19.9978294372559
27,274.213000,25,19.9978294372559
28,285.324000,25,19.9978294372559
29,294.235000,25,19.9978294372559
30,304.394000,25,19.9978294372559
31,314.197000,25,19.9978294372559
32,325.375000,25,19.9978294372559
33,334.209000,25,19.9978294372559
34,344.202000,25,19.9978294372559
35,354.441000,25,19.9978294372559
36,364.268000,25,19.9978294372559
37,374.195000,25,19.9978294372559
38,384.216000,25,19.9978294372559
39,394.272000,25,19.9978294372559
40,404.460000,25,19.9978294372559
41,414.238000,25,19.9978294372559
42,424.857000,25,19.9978294372559
43,435.088000,25,19.9978294372559
44,444.277000,25,19.9978294372559
45,454.377000,25,19.9978294372559
46,464.240000,25,19.9978294372559
47,474.209000,25,19.9978294372559
48,484.434000,25,19.9978294372559
49,494.198000,25,19.9978294372559
50,504.434000,25,19.9978294372559
51,516.079000,25,19.9978294372559
52,525.648000,25,19.9978294372559
53,535.369000,25,19.9978294372559
54,545.043000,25,19.9978294372559
55,554.339000,25,19.9978294372559
56,564.197000,25,19.9978294372559
57,574.187000,25,19.9978294372559
58,584.200000,25,19.9978294372559
59,594.206000,25,19.9978294372559
60,604.366000,25,19.9978294372559
61,614.200000,25,19.9978294372559
62,625.477000,25,19.9978294372559
63,634.244000,25,19.9978294372559
64,644.195000,25,19.9978294372559
65,654.441000,25,19.9978294372559
66,664.233000,25,19.9978294372559
67,674.259000,25,19.9978294372559
68,684.227000,25,19.9978294372559
69,694.197000,25,19.9978294372559
70,704.491000,25,19.9978294372559
71,714.207000,25,19.9978294372559
72,725.359000,25,19.9978294372559
73,735.464000,25,19.9978294372559
74,744.252000,25,19.9978294372559
75,754.361000,25,19.9978294372559
76,764.230000,25,19.9978294372559
77,774.179000,25,19.9978294372559
78,784.203000,25,19.9978294372559
79,794.229000,25,19.9978294372559
80,804.453000,25,19.9978294372559
81,814.209000,25,19.9978294372559
82,825.684000,25,19.9978294372559
83,834.255000,25,19.9978294372559
84,845.535000,25,19.9978294372559
85,855.228000,25,19.9978294372559
86,864.256000,25,19.9978294372559
87,875.789000,25,19.9978294372559
88,884.259000,25,19.9978294372559
89,894.243000,25,19.9978294372559
90,904.464000,25,19.9978294372559
91,914.244000,25,19.9978294372559
92,925.656000,25,19.9978294372559
93,934.253000,25,19.9978294372559
94,944.221000,25,19.9978294372559
95,954.401000,25,19.9978294372559
96,964.268000,25,19.9978294372559
97,974.229000,25,19.9978294372559
98,984.180000,25,19.9978294372559
99,994.209000,25,19.9978294372559
100,1004.383000,25,19.9978294372559
101,1014.221000,25,19.9978294372559
102,1025.495000,25,19.9978294372559
103,1035.550000,25,19.9978294372559
104,1044.269000,25,19.9978294372559
105,1054.386000,25,19.9978294372559
106,1064.241000,25,19.9978294372559
107,1074.238000,25,19.9978294372559
108,1084.227000,25,19.9978294372559
109,1094.236000,25,19.9978294372559
110,1104.371000,25,19.9978294372559
111,1114.250000,25,19.9978294372559
112,1125.681000,25,19.9978294372559
113,1134.266000,25,19.9978294372559
114,1144.220000,25,19.9978294372559
115,1154.383000,25,19.9978294372559
116,1164.212000,25,19.9978294372559
117,1175.013000,25,19.9978294372559
118,1185.552000,25,19.9978294372559
119,1195.498000,25,19.9978294372559
120,1204.530000,25,19.9978294372559
121,1214.209000,25,19.9978294372559
122,1225.517000,25,19.9978294372559
123,1234.219000,25,19.9978294372559
124,1244.205000,25,19.9978294372559
125,1254.434000,25,19.9978294372559
126,1264.176000,25,19.9978294372559
127,1274.197000,25,19.9978294372559
128,1284.248000,25,19.9978294372559
129,1294.225000,25,19.9978294372559
130,1304.377000,25,19.9978294372559
131,1314.196000,25,19.9978294372559
132,1325.526000,25,19.9978294372559
133,1334.238000,25,19.9978294372559
134,1344.221000,25,19.9978294372559
135,1354.435000,25,19.9978294372559
136,1364.235000,25,19.9978294372559
137,1376.261000,25,19.9978294372559
138,1384.297000,25,19.9978294372559
139,1394.249000,25,19.9978294372559
140,1404.510000,25,19.9978294372559
141,1414.229000,25,19.9978294372559
142,1425.747000,25,19.9978294372559
143,1434.240000,25,19.9978294372559
144,1444.240000,25,19.9978294372559
145,1454.815000,25,19.9978294372559
146,1464.211000,25,19.9978294372559
147,1474.240000,25,19.9978294372559
148,1484.206000,25,19.9978294372559
149,1494.203000,25,19.9978294372559
150,1505.291000,25,19.9978294372559
151,1515.081000,25,19.9978294372559
152,1525.511000,25,19.9978294372559
153,1534.250000,25,19.9978294372559
154,1544.176000,25,19.9978294372559
155,1554.399000,25,19.9978294372559
156,1564.241000,25,19.9978294372559
